Year,country,region,gdp,life,fertility,child_mortality
2010,EU_04,Europe,35791.37490652582,77.9650656350297,1.1787361972029262,1.0
2000,EU_05,Europe,32739.110101494316,77.3730550567551,1.6306338363533575,4.441496692440576
2001,EU_05,Europe,33499.699232128376,,1.6926212383316994,6.936655217238865
2002,EU_05,Europe,,76.97924312499914,1.6271799602543702,5.326631065554824
2003,EU_05,Europe,38737.619678558105,78.9219601792623,1.6116483797331307,5.459300599457409
2004,EU_05,Europe,34085.60931953472,79.41091425644944,1.5207555993064497,4.094405969926411
2005,EU_05,Europe,32903.29453246601,77.73408727841867,1.487148055051349,2.2787633482659944
2006,EU_05,Europe,30607.624653688403,80.87157105962976,1.5608779541076385,1.0
2007,EU_05,Europe,35191.948338027076,78.13498062716681,1.4911195404053146,1.0
2008,EU_05,Europe,34727.919065978036,77.94160878369628,1.4075478083403066,1.0
2009,EU_05,Europe,32881.1219211673,78.75248433286006,1.6174926660237035,1.0
2010,EU_05,Europe,34288.20391473017,76.73176990629864,1.3730342216962064,1.0
2000,EU_06,Europe,34268.77526330478,75.84867870682498,1.637752466954192,6.617271733649797
2001,EU_06,Europe,35527.99968350764,78.86442935416186,1.554877375500265,8.174058503092528
2002,EU_06,Europe,36619.22500789292,79.27113131089338,1.5141984945707476,5.270914473210987
2003,EU_06,Europe,,78.46588626306739,1.6512536460987668,6.35921666265437
2004,EU_06,Europe,35281.2390829735,,1.3364467046415427,2.8606841205089295
2005,EU_06,Europe,33648.852344118925,77.0464069624876,1.7063409961615994,1.4520535155694154
2006,EU_06,Europe,35866.63798299534,76.90893062718376,1.6710499549723579,1.0
2007,EU_06,Europe,,78.56213886603571,1.4572273997632323,2.69042079390527
2008,EU_06,Europe,35070.20180132801,77.64803480945423,1.5213322586462703,1.0
2009,EU_06,Europe,37113.72312884777,77.61249245913201,1.622629437138697,1.0
2010,EU_06,Europe,33342.39541778245,79.68200848853702,1.463605284244222,1.0
2000,AS_01,Asia,18029.00410589035,72.74782548433784,2.0973429013236125,12.48163280313252
2001,AS_01,Asia,17365.55024167373,,2.1138106319535255,13.665440458908918
2002,AS_01,Asia,16214.32940006336,72.60819523035997,2.0885651508562697,12.836552594173698
2003,AS_01,Asia,17380.592035321988,73.4662886473179,2.110994854109483,10.233640112769756
2004,AS_01,Asia,17051.31198170797,74.08428762245208,1.971367166188231,11.969162474004287
2005,AS_01,Asia,18724.86541435977,74.41260659027007,2.073219967018755,9.552502958472639
2006,AS_01,Asia,17189.20082546863,74.319143212577,1.974714970645484,8.525782614471973
2007,AS_01,Asia,18697.336498514185,73.78418620627475,1.8633240077877309,11.05957810955169
2008,AS_01,Asia,16133.318041177215,72.73117285978235,2.001430532326414,8.308491236967905
2009,AS_01,Asia,19047.119224255235,74.41131005833421,1.8878019206186558,4.975115638794754
2010,AS_01,Asia,17238.858393090646,73.91299479947577,1.946791241119829,5.300411123770293
2000,AS_02,Asia,17722.759133931882,71.18718296828256,2.1815370438300414,12.54841157853138
2001,AS_02,Asia,17855.30322273047,,2.0260929708215576,10.39763068002324
2002,AS_02,Asia,17337.05758912624,71.39095914259654,2.146812323389184,13.921860667012403
2003,AS_02,Asia,17567.320521748872,73.01706298705102,2.1004184215091284,9.405032294631361
2004,AS_02,Asia,17524.240358313808,72.1908902278566,2.107757202968391,8.86797992625959
2005,AS_02,Asia,20406.33668619788,72.77874987809017,2.0532389062647947,9.911393924736487
2006,AS_02,Asia,17655.39760886526,72.9995473555601,2.059867116686177,8.527714942760767
2007,AS_02,Asia,17247.713640910813,72.45707946239781,2.0239005320820587,8.45582377845625
2008,AS_02,Asia,19996.134555821824,73.86054697164404,2.1741943147422678,5.757804997256001
2009,AS_02,Asia,,73.33172400056966,2.1571239527987576,4.896378913555347
2010,AS_02,Asia,17958.13934852798,71.66968152166821,1.792028060196559,4.520193809066933
2000,AS_03,Asia,17435.432089458813,73.03946464432161,2.0793902226587053,21.366391274907414
2001,AS_03,Asia,21197.975721733947,70.81880759911492,2.225618606024277,19.1247490394906
2002,AS_03,Asia,20631.596134200536,70.47590627704467,2.1021002087463643,20.885236985607847
2003,AS_03,Asia,17851.725038521756,70.64461314734119,2.0916828923440285,18.29898340829477
2004,AS_03,Asia,19835.062471473666,71.83897533465631,1.9858537620159664,17.214943290115716
2005,AS_03,Asia,19822.44582404054,72.45933643784745,2.108192586613685,14.941549379890853
2006,AS_03,Asia,21117.30280580018,70.85492663539993,2.057848517324941,14.705782712812827
2007,AS_03,Asia,19524.299524391703,73.99019278165808,2.10560717109168,15.12979023976282
2008,AS_03,Asia,22133.798836617225,74.54978873101754,1.9713462644882482,15.68586894407919
2009,AS_03,Asia,21703.73490925094,73.1844167557207,1.8940695195201656,14.457589707645317
2010,AS_03,Asia,17162.678343317744,73.64746529298515,1.856602715353312,9.569664251007506
2000,AS_04,Asia,17364.93232426959,74.30532734423782,2.189082962665992,15.138962792914397
2001,AS_04,Asia,19536.042389450788,73.11077724760584,2.139958189811214,14.28860428199014
2002,AS_04,Asia,20739.593334836984,71.47224229816167,2.314681417502152,12.212464661768292
2003,AS_04,Asia,18296.264228758497,72.31284488132984,2.2603392300325504,14.254997822011182
2004,AS_04,Asia,20791.15428486869,71.89098575233099,2.2029329483446087,10.832975092865809
2005,AS_04,Asia,18632.221027962863,72.81968143871197,2.1810616133866296,9.425467502376051
2006,AS_04,Asia,20387.97983954952,74.94143693158291,2.149375517174997,10.743254207360657
2007,AS_04,Asia,20153.630112292092,72.9143837489757,2.234486893817878,10.758545906330282
2008,AS_04,Asia,19771.357150624906,72.54621065105601,2.1433494220422724,5.369402594155948
2009,AS_04,Asia,22835.39591275871,71.61152073646798,2.2769509748945067,7.648730281924758
2010,AS_04,Asia,21401.95974340723,73.7532687617223,2.371664022490823,8.90164670841119
2000,AS_05,Asia,13955.538554402638,72.09014814493877,1.807307221221962,13.988068902180077
2001,AS_05,Asia,17561.378754223326,74.58364052529564,1.8383952406560349,17.030307115936708
2002,AS_05,Asia,15096.992816806753,73.02386719787069,1.9408829781429369,14.818755973128658
2003,AS_05,Asia,,71.95925273589663,1.7289835916905836,11.136191311155164
2004,AS_05,Asia,19553.044079504347,73.97267643775471,1.667147646055833,13.254844762637527
2005,AS_05,Asia,16108.231043152105,,1.7116415380222547,10.314404753081945
2006,AS_05,Asia,15742.493944182592,73.1950205181679,1.7606695980237512,10.735033743427962
2007,AS_05,Asia,15777.573625736752,72.95755084335666,1.6728913455158976,11.143477746340302
2008,AS_05,Asia,15822.586251601322,73.74741607784746,1.7069796363957024,10.337471592659352
2009,AS_05,Asia,18253.959407369053,71.6270936091017,1.6260231512456966,9.266288910491408
2010,AS_05,Asia,14881.59596780237,72.58323973368056,1.5288296569307114,7.682518327593742
2000,AS_06,Asia,14374.842450147498,73.24558720341845,2.143641980192433,10.086537820167742
2001,AS_06,Asia,15764.533433446444,72.50125363678183,2.2562922935537615,8.350102008908397
2002,AS_06,Asia,14796.806467804754,74.24735911413092,2.1981732030498287,10.577792744179972
2003,AS_06,Asia,15446.023866585467,70.9900225019385,2.181954638991049,7.310871734128631
2004,AS_06,Asia,15885.38896971745,73.88281287543708,2.122716051814438,6.5819239601050015
2005,AS_06,Asia,17322.998014743,74.72944906372558,2.1227970817826223,5.3976243640094195
2006,AS_06,Asia,16442.529468061748,73.12406077799328,2.10734504020687,4.583963091962725
2007,AS_06,Asia,20354.467947759338,73.95144185896218,2.1254788450911413,3.9264045149413582
2008,AS_06,Asia,16779.253690258854,74.91288092422973,1.8727389060023776,2.1033103468170142
2009,AS_06,Asia,17014.09652372922,71.89087508103992,2.01726233915177,5.330095781606044
2010,AS_06,Asia,17362.715956577886,,2.062141315311285,1.0
2000,AF_01,Africa,5918.798516922732,,3.6288346124215263,66.83730141632738
2001,AF_01,Africa,7064.061267224438,62.51460372478877,3.5214631911698038,61.35649557542361
2002,AF_01,Africa,5557.604648910634,63.21307328627453,3.543937362110575,61.114775959473114
2003,AF_01,Africa,7492.223545704357,,3.601215258673655,60.266237531338675
2004,AF_01,Africa,5673.5848141004735,,3.4626686023269344,60.797212869188066
2005,AF_01,Africa,5908.4824015074955,63.28972608637563,3.547780536741476,61.464718917828215
2006,AF_01,Africa,10256.924106611033,62.99617237295398,3.3963089272047373,56.76428007465367
2007,AF_01,Africa,9835.79685500771,,3.4905613156413478,57.74788512325511
2008,AF_01,Africa,6053.4968168263695,62.9627060960501,3.6138722215023695,57.22509390258363
2009,AF_01,Africa,8980.380323621972,62.84213226433518,3.4366928016719602,56.56708816603948
2010,AF_01,Africa,8748.932923477927,61.992263014284966,3.528774022851026,57.44939219885326
2000,AF_02,Africa,5618.855924844052,63.967548864255974,3.5161621065840274,61.916964718891975
2001,AF_02,Africa,3487.2470422164993,63.80381605338829,3.5505909269403992,56.34035423190241
2002,AF_02,Africa,4387.545597920235,64.83499453592918,3.5083624049819284,56.080021081605636
2003,AF_02,Africa,6931.100935071719,63.726039252677154,3.5707919688521246,54.9679248100239
2004,AF_02,Africa,4168.4832925161245,,3.355808345525887,56.34119693992434
2005,AF_02,Africa,5771.878194357757,63.9308894217586,3.6994757645568406,57.312486784022695
2006,AF_02,Africa,3217.779784025124,,3.7374280612212014,54.91146689072279
2007,AF_02,Africa,4991.381016472625,64.27575324388022,3.527406057822641,53.806098621815146
2008,AF_02,Africa,4357.280235277041,63.73816194508705,3.488939015343933,52.40750208300041
2009,AF_02,Africa,5487.213988675475,63.64897816929012,3.4511610995675444,54.67862872257509
2010,AF_02,Africa,7114.828925021322,61.760854143574264,3.551246092361023,48.512553891088835
2000,AF_03,Africa,6885.523933143851,60.47819904163775,3.6637275172441233,59.573882579718614
2001,AF_03,Africa,2713.5406111825732,62.36044695114681,3.5269116244899448,57.600611779069254
2002,AF_03,Africa,5626.615913266998,60.466647078211636,3.5296472139396755,55.504318725902976
2003,AF_03,Africa,5373.513235237477,62.44973485530707,3.4999959525268,57.00554464227375
2004,AF_03,Africa,5781.021678424812,60.707711559503686,3.556321346429797,54.002230278256384
2005,AF_03,Africa,3130.447903430462,62.1649079093457,3.5627954073288786,53.38919673256289
2006,AF_03,Africa,,61.36605186658454,3.4125257505489057,50.753857992682036
2007,AF_03,Africa,6216.133195026876,60.38214571357968,3.346438897592624,54.69874121020392
2008,AF_03,Africa,8001.802820443474,59.90684547921986,3.4457546431685357,51.12148026942179
2009,AF_03,Africa,6205.822439536523,61.49385580029464,3.4058624695983384,52.121502760252156
2010,AF_03,Africa,,62.20300253576562,3.359784268815218,49.58113150164577
2000,AF_04,Africa,1303.6882101577305,62.540227560798414,3.599246901329374,62.751164840110654
2001,AF_04,Africa,562.2061265832801,61.87960244236111,3.5934398070919573,59.9622331156456
2002,AF_04,Africa,-674.2121916700116,,3.6401046376701944,61.338688505687706
2003,AF_04,Africa,3503.69969060502,62.77539185698435,3.671010142241149,61.351347379595346
2004,AF_04,Africa,260.2977645831968,60.72848789133883,3.4677867004684884,59.06892885738439
2005,AF_04,Africa,1241.0474949565507,63.1370211431396,3.512713527842309,57.09671788353816
2006,AF_04,Africa,369.6715694144159,62.05784431967852,3.4039135269952703,55.40226537364365
2007,AF_04,Africa,4210.125909598508,61.743488869693145,3.3818202755775872,60.57836537932423
2008,AF_04,Africa,3056.91740022906,63.26268002355136,3.3691035642696456,56.880257101181634
2009,AF_04,Africa,3112.677936654791,62.2437242964327,3.6225789497456464,54.88570243248117
2010,AF_04,Africa,2024.898576997918,64.01863544895615,3.3949731074443856,56.88599323552141
2000,AF_05,Africa,10083.728790433952,61.880047269710204,3.955907587295697,55.95726259248151
2001,AF_05,Africa,8403.6191626666,60.570502354829806,3.8802081159903175,58.443607818643216
2002,AF_05,Africa,6921.880577928705,61.525340531587936,3.8965786183987983,57.62847829024293
2003,AF_05,Africa,10696.06820432579,61.95742997858572,3.9128765626822335,56.601369791159854
2004,AF_05,Africa,6733.455715719871,61.377473819196034,3.860532247848928,55.42413120306186
2005,AF_05,Africa,7459.774252263393,61.76921836785005,3.71967826708566,55.892328952316554
2006,AF_05,Africa,10547.148162052794,61.508084376798024,3.788428260408758,53.55723388156081
2007,AF_05,Africa,8900.830023667797,62.53592333663068,3.7738524524735997,52.01918673925963
2008,AF_05,Africa,9361.138930790898,61.21314330322237,3.763933492049018,51.19447673982199
2009,AF_05,Africa,,,3.7112130587854124,50.45300308490593
2010,AF_05,Africa,10419.72928076122,63.194617415008416,3.7887103534758118,48.08425911276174
2000,AF_06,Africa,8893.282751525243,61.803171868942734,3.9962544482808537,62.65218328453656
2001,AF_06,Africa,9109.338306923426,61.924957797642335,3.9187083700497705,61.612151084466156
2002,AF_06,Africa,6656.5846779561125,62.00027350194725,3.664786557508571,60.21846320546975
2003,AF_06,Africa,6077.565243590681,61.46631955229104,3.749567807400371,61.14776322400083
2004,AF_06,Africa,5881.730530138688,64.07096081185719,3.81108839026944,59.67545785885778
2005,AF_06,Africa,8541.490829496779,62.52099660939067,3.6225248366663294,59.77005574447213
2006,AF_06,Africa,8417.938487259096,62.78691252725616,3.7154760899039387,62.07939133506239
2007,AF_06,Africa,,62.03272033479179,3.622491356277332,56.76322544645567
2008,AF_06,Africa,9762.786387908202,62.08307319173659,3.765982938230502,55.94032168457184
2009,AF_06,Africa,8836.38492582648,61.93810474593888,3.588164754848836,56.945838851829315
2010,AF_06,Africa,6005.645418751026,63.02338333989441,3.7361430144977184,57.89025763483934
2000,AM_01,Americas,30239.903688277558,74.92319784409156,2.0287240304092116,9.805924503153395
2001,AM_01,Americas,26278.201820215152,72.93533434340421,2.0202296507788318,12.895207165237757
2002,AM_01,Americas,27860.27880758638,73.84704227238255,2.0015659769229153,11.185960280133202
2003,AM_01,Americas,26878.29372074755,76.94158599729236,1.9437246532072778,10.169611685564682
2004,AM_01,Americas,30594.657868732083,75.14654506104505,2.009594063434813,7.264432233780486
2005,AM_01,Americas,29637.652251002393,75.10530840211105,2.0085183831045246,7.764281416622023
2006,AM_01,Americas,29878.540265796542,75.63132826100788,2.033452527891738,7.176435201345539
2007,AM_01,Americas,28494.667409778016,74.44753549110187,1.999400525929404,4.17796686348022
2008,AM_01,Americas,,75.03332688029164,1.8851793944435211,6.521048163872023
2009,AM_01,Americas,28644.251702362257,74.90575263943865,1.754091317330342,4.922750719001906
2010,AM_01,Americas,31969.478965086222,75.4101377525598,1.8182575498124955,3.3320958614569838
2000,AM_02,Americas,31434.820244261486,75.90715693016945,1.9499909809779148,11.12819956665848
2001,AM_02,Americas,29765.133610410358,76.42289217031268,1.9763432440737072,8.986883354902258
2002,AM_02,Americas,29170.126202351286,76.59430704937775,1.90099192236023,9.8028823899078
2003,AM_02,Americas,31506.281167917467,77.01478444968726,1.8812897080065012,11.258800181471903
2004,AM_02,Americas,,74.05124652003667,1.9409068261462237,6.8839832407821016
2005,AM_02,Americas,32967.44123047598,74.5280276033222,1.905209727243653,5.990946631205926
2006,AM_02,Americas,33363.592551947164,,1.9177217643786502,5.888300781641943
2007,AM_02,Americas,30599.77941003772,,1.7236636564679781,4.1992024724891515
2008,AM_02,Americas,32719.91573351099,75.65367440409742,1.8064067855134507,4.965147672082463
2009,AM_02,Americas,34670.55346563684,74.49772099626247,1.7991335758705516,5.31300832469321
2010,AM_02,Americas,33340.03638825763,76.14198576683062,1.8312870525605334,3.5086274173369905
2000,AM_03,Americas,32818.48088343907,75.68153161755383,1.975366791290479,14.82842192213176
2001,AM_03,Americas,28662.14240708779,75.78110936119671,2.019726528648084,10.305433786553214
2002,AM_03,Americas,29979.369091311277,76.71191086082978,1.9537835007980382,7.692700176347239
2003,AM_03,Americas,,75.46896099259199,1.8427659495763629,10.867633256981982
2004,AM_03,Americas,,76.75706747049189,1.8721200840048835,8.855444238552566
2005,AM_03,Americas,29670.758026476047,76.01766477275049,2.0497500395965926,9.443054708629044
2006,AM_03,Americas,,75.85030313801138,1.9261488000910247,4.264408970129099
2007,AM_03,Americas,30685.328688268164,75.87408992932046,1.8093485746636273,6.105360833436603
2008,AM_03,Americas,32819.569352165374,77.96895383869058,1.823783856272597,6.585885444799773
2009,AM_03,Americas,33395.25558463402,77.62062274842707,1.8542486050488347,3.956606106207175
2010,AM_03,Americas,32748.533138397488,76.96949062545465,1.9010936330574393,5.0797689752884905
2000,AM_04,Americas,25895.74784974451,78.33472413100847,2.3364862140983687,10.88966498927117
2001,AM_04,Americas,26353.700825797383,75.65804525476875,2.1519813251896034,10.429047733680072
2002,AM_04,Americas,26368.979570970994,76.8822987464187,2.15566074246427,12.206204351994995
2003,AM_04,Americas,28034.015081389913,,2.140649388098605,8.37284580415459
2004,AM_04,Americas,25995.340729081254,77.07298123111363,2.0970189868512814,4.8899227032608135
2005,AM_04,Americas,28650.323486432975,76.90868638098848,2.058954192861199,8.953778959012247
2006,AM_04,Americas,25632.967256564134,75.33369759538087,2.0955652553299466,7.36344626799543
2007,AM_04,Americas,27291.203182575453,78.29339094984107,2.1439035765196524,4.935036109826138
2008,AM_04,Americas,29455.019483108874,76.4868359584424,2.0897949401182223,1.8282105786008245
2009,AM_04,Americas,30349.66660810004,78.1860036081091,1.9675640937243863,3.986504114233312
2010,AM_04,Americas,28820.540225614724,77.25349344466595,1.9535846975375153,1.5853637621701213
2000,AM_05,Americas,26072.644107573615,75.74103382545862,2.173441279218933,6.278586335574532
2001,AM_05,Americas,28815.953196579514,74.65689417340712,1.9579655051314924,9.82939718480946
2002,AM_05,Americas,31165.213861114804,74.60163391349836,2.03778637687883,8.003718244576365
2003,AM_05,Americas,28870.969702235874,75.19615700587052,2.101241368744936,5.747522128999713
2004,AM_05,Americas,30303.28529706986,,2.1216008064399094,6.963489616911922
2005,AM_05,Americas,30571.571482041087,74.8706829804024,1.955809219091774,8.003278979082943
2006,AM_05,Americas,31890.520509305334,75.65127056704182,2.043962699511712,4.446340742281452
2007,AM_05,Americas,31100.93326489126,75.06029296898956,1.9358119224360395,3.2323236489769194
2008,AM_05,Americas,31623.37686722968,76.09696465844725,1.9801512293664112,2.3670821335788084
2009,AM_05,Americas,28698.157011720567,,1.9748462371653632,2.207889717588671
2010,AM_05,Americas,27501.074971228194,76.46734522466991,2.048609999571623,1.0
2000,AM_06,Americas,,75.70605041938921,2.0766614936983174,7.165902620248616
2001,AM_06,Americas,26813.710977707844,77.24988711077377,2.0839495981708716,6.587194814178369
2002,AM_06,Americas,26133.759950198557,78.83323496532329,2.068004009496583,6.81573490449045
2003,AM_06,Americas,,,2.08301450352172,2.725245941383306
2004,AM_06,Americas,24800.670056220904,78.16325091238612,2.0361269229785077,2.508339535449995
2005,AM_06,Americas,27163.331761204157,76.51568103349202,2.017624662995407,3.472634441831959
2006,AM_06,Americas,27500.489598019907,78.24353064914365,1.9523835549361332,3.4858840629115675
2007,AM_06,Americas,25128.776423043448,77.86928986900965,1.9997080913473737,2.291512423945379
2008,AM_06,Americas,29183.748365716365,76.43225587672502,1.9199116387967832,1.0
2009,AM_06,Americas,,76.60674755580115,1.8242140788077692,1.0
2010,AM_06,Americas,26149.746123271445,78.42432444330998,1.8126046978028807,1.0
